Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,
1,Barcelona,38,28,4,6,102,39,63,88,2.32,91.5,41.9,49.5,1.3,
2,Real Madrid,38,26,6,6,78,38,40,84,2.21,75.3,42.8,32.5,0.86,
3,Atlético Madrid,38,22,10,6,68,30,38,76,2,64.6,33.4,31.2,0.82,
4,Athletic Club,38,19,13,6,54,29,25,70,1.84,53,37.8,15.2,0.4,
5,Villarreal,38,20,10,8,71,51,20,70,1.84,64.8,44.4,20.4,0.54,
6,Betis,38,16,12,10,57,50,7,60,1.58,54.7,50.6,4.1,0.11,
7,Celta Vigo,38,16,7,15,59,57,2,55,1.45,54.2,43.4,10.9,0.29,
8,Rayo Vallecano,38,13,13,12,41,45,-4,52,1.37,45.4,49,-3.5,-0.09,
9,Osasuna,38,12,16,10,48,52,-4,52,1.37,44,53.7,-9.7,-0.25,
10,Mallorca,38,13,9,16,35,44,-9,48,1.26,38.8,46.8,-8.1,-0.21,
11,Real Sociedad,38,13,7,18,35,46,-11,46,1.21,42.5,43.9,-1.4,-0.04,
12,Valencia,38,11,13,14,44,54,-10,46,1.21,43.3,51.9,-8.6,-0.23,
13,Getafe,38,11,9,18,34,39,-5,42,1.11,36.8,46.2,-9.4,-0.25,
14,Espanyol,38,11,9,18,40,51,-11,42,1.11,34.4,53.9,-19.5,-0.51,
15,Alavés,38,10,12,16,38,48,-10,42,1.11,42.8,47,-4.2,-0.11,
16,Girona,38,11,8,19,44,60,-16,41,1.08,42.5,50.4,-8,-0.21,
17,Sevilla,38,10,11,17,42,55,-13,41,1.08,42.7,47.4,-4.7,-0.12,
18,Leganés,38,9,13,16,39,56,-17,40,1.05,36,59.4,-23.4,-0.62,
19,Las Palmas,38,8,8,22,40,61,-21,32,0.84,36.3,66.8,-30.5,-0.8,
20,Valladolid,38,4,4,30,26,90,-64,16,0.42,34.6,67.6,-33,-0.87,
