,Ridge_Average_Bundesliga,Lasso_Average_Bundesliga,RandomForest_Average_Bundesliga,XGBoost_Average_Bundesliga,KNN_Average_SerieA
touches,0.035616445,0,0.04858967,0.125109454,0.034199166
assists,0.04971212,0.282403845,0.048892807,0.158826042,0.034483639
goals,0.046913761,0.069437407,0.035054432,0.108246335,0.03363036
passes_completed_total,0.032596334,0,0.031446903,0.17214799,0.033808021
ball_recoveries,0.067732249,0.142571572,0.016262515,0.001273122,0.036551755
fouls_committed,0.046470265,0.106069422,0.042605625,0.012836548,0.031543295
progressive_passes,0.039181167,0,0.053981565,0.084349751,0.034304227
interceptions_misc,0.042726904,0.095971201,0.03011896,0.013400223,0.029358486
goal_creating_actions,0.047998135,0.026570811,0.064060394,0.038691615,0.033642333
expected_assists,0.033983612,0.024959236,0.054655914,0.057169715,0.033082457
passes_attempted_total,0.035763031,0.079941071,0.04067355,0,0.034191578
tackles_total,0.054992175,0.076280158,0.011328252,0.006859626,0.031855254
expected_goals,0.039370587,0,0.061346647,0.038539121,0.034169381
offsides,0.025339905,0.036928551,0.008315555,0.033628397,0.020104831
progressive_passing_distance,0.021315099,0,0.046022357,0.021251433,0.031529354
aerial_duels_lost,0.020969112,0,0.046317291,0.017351822,0.031715519
progressive_carry_distance,0.025950678,0,0.052372119,0.002250058,0.032769213
aerial_duels_won,0.01627019,0,0.061006035,0.004994544,0.026559087
yellow_cards,0.032957319,0,0.027992967,0.013754503,0.027163199
shots_total,0.013871953,0,0.014719067,0.03856103,0.033772573
shots_on_target,0.032175766,0,0.020933444,0.011296692,0.034781265
progressive_carries,0.026398876,0,0.014788982,0.021153959,0.034360923
miscontrols,0.041430516,0.021200073,0.001842238,0.003956869,0.023222933
blocks_defensive,0.028442065,0.007647239,0.016090045,2.83E-05,0.029305129
times_dispossessed,0.00927004,0,0.039246602,0.003881055,0.02841665
fouls_drawn,0.02048223,0.030019416,0.00765962,4.47E-05,0.02242143
successful_take_ons,0.012562963,0,0.035987192,0,0.031368906
clearances,0.028552059,0,0.015636346,0.000612354,0.034880849
key_passes,0.015767744,0,0.025427428,0,0.034285117
passes_blocked,0.018861336,0,0.016390153,0.005578523,0.022984004
red_cards,0.023453587,0,0.002097926,0.004206273,0.03214521
shot_creating_actions,0.012871776,0,0.0081374,0,0.033393854
