,Serie A,,,,,Bundesliga,,,,,Premier League,,,,,La Liga,,,,
,Ridge,Lasso,RForest,XGBoost,KNN,Ridge,Lasso,RForest,XGBoost,KNN,Ridge,Lasso,RForest,XGBoost,KNN,Ridge,Lasso,RForest,XGBoost,KNN
touches,0.0325,0.0073,0.0404,0.0059,0.0285,0.0356,0,0.0486,0.1251,0.0342,0.0194,0.0184,0.0035,0.0022,0.0259,0.0218,0,0.0126,0,0.0305
goals,0.0571,0.1866,0.0991,0.3099,0.0355,0.0497,0.2824,0.0489,0.1588,0.0345,0.0679,0.1548,0.1744,0.129,0.0367,0.0565,0.2878,0.039,0,0.0284
progressive_passes,0.0258,0,0.1339,0.3519,0.0292,0.0469,0.0694,0.0351,0.1082,0.0336,0.0545,0.1239,0.1465,0.1681,0.0337,0.0226,0.0509,0.0811,0.2161,0.0253
aerial_duels_lost,0.0597,0.1527,0.0463,0.0147,0.0315,0.0326,0,0.0314,0.1721,0.0338,0.0403,0,0.1046,0.2425,0.0285,0.0406,0,0.0726,0.1917,0.0257
expected_assists,0.0493,0.1234,0.0857,0.0066,0.0341,0.0677,0.1426,0.0163,0.0013,0.0366,0.0668,0.2405,0.0598,0.0009,0.0328,0.0491,0.1221,0.0262,0.062,0.0432
shots_on_target,0.0254,0.195,0.015,0.0083,0.0349,0.0465,0.1061,0.0426,0.0128,0.0315,0.0576,0,0.0884,0.119,0.0316,0.0624,0.0855,0.0685,0.0351,0.0278
expected_goals,0.0505,0,0.1022,0.0357,0.0369,0.0392,0,0.054,0.0843,0.0343,0.0524,0.1651,0.0202,0.005,0.038,0.0299,0,0.0409,0.1513,0.0328
red_cards,0.0518,0.0946,0.0026,0.0057,0.03,0.0427,0.096,0.0301,0.0134,0.0294,0.0521,0.0716,0.0229,0.0097,0.0387,0.0251,0.0414,0.0721,0.0643,0.0271
yellow_cards,0.0433,0.0771,0.0174,0.0109,0.0355,0.048,0.0266,0.0641,0.0387,0.0336,0.0477,0.0698,0.0047,0.0239,0.0439,0.0567,0.0789,0.031,0.0082,0.0351
progressive_passing_distance,0.0353,0.0089,0.0734,0.0126,0.0299,0.034,0.025,0.0547,0.0572,0.0331,0.0557,0.0737,0.006,0.0053,0.033,0.0387,0.0639,0.0641,0.0084,0.0347
goal_creating_actions,0.0534,0,0.0695,0.0022,0.0328,0.0358,0.0799,0.0407,0,0.0342,0.0516,0,0.0619,0.0207,0.0318,0.0452,0,0.0795,0.0558,0.028
fouls_drawn,0.0246,0,0.0137,0.0853,0.032,0.055,0.0763,0.0113,0.0069,0.0319,0.0234,0,0.0124,0.0717,0.0331,0.0346,0.0049,0.0296,0.0537,0.035
fouls_committed,0.0456,0.0516,0.0125,0.0003,0.0302,0.0394,0,0.0613,0.0385,0.0342,0.0107,0,0.0113,0.0867,0.0292,0.0512,0,0.0412,0.0255,0.031
assists,0.0431,0,0.0504,0.0085,0.0318,0.0253,0.0369,0.0083,0.0336,0.0201,0.0398,0,0.0498,0.007,0.0372,0.0489,0.0119,0.0496,0.0007,0.0357
clearances,0.0214,0.0425,0.0304,0.0077,0.0289,0.0213,0,0.046,0.0213,0.0315,0.05,0.019,0.0262,0,0.0384,0.0397,0.0406,0.0327,0.0013,0.0316
times_dispossessed,0.0312,0.0133,0.0016,0.0421,0.0346,0.021,0,0.0463,0.0174,0.0317,0.0204,0.0202,0.0124,0.0261,0.0272,0.0269,0.0002,0.01,0.0653,0.0346
blocks_defensive,0.0247,0.027,0.0041,0.0294,0.0322,0.026,0,0.0524,0.0023,0.0328,0.0194,0,0.0148,0.0385,0.0287,0.0186,0.0641,0.0075,0.0098,0.0271
progressive_carry_distance,0.0369,0,0.0302,0.0014,0.0289,0.0163,0,0.061,0.005,0.0266,0.0255,0,0.0413,0.0003,0.0329,0.0225,0.0567,0.0117,0.0012,0.0337
shots_total,0.0231,0,0.0171,0.0189,0.0337,0.033,0,0.028,0.0138,0.0272,0.027,0.0224,0.0164,0.0041,0.0235,0.0412,0.0243,0.013,0.0005,0.0439
passes_attempted_total,0.0314,0,0.0299,0,0.0276,0.0139,0,0.0147,0.0386,0.0338,0.028,0.0185,0.0079,0.0079,0.0304,0.0307,0.0459,0.0106,0.0001,0.028
passes_completed_total,0.0325,0,0.0178,0.0109,0.0275,0.0322,0,0.0209,0.0113,0.0348,0.0265,0,0.0116,0,0.0342,0.0302,0,0.0446,0,0.0357
shot_creating_actions,0.0237,0,0.0292,0,0.0345,0.0264,0,0.0148,0.0212,0.0344,0.0176,0.0022,0.0159,0.0107,0.024,0.0391,0.0162,0.0056,0.005,0.0311
tackles_total,0.0287,0,0.0123,0.0097,0.0305,0.0414,0.0212,0.0018,0.004,0.0232,0.0236,0,0.0036,0.0011,0.0348,0.0086,0,0.0285,0.02,0.0297
progressive_carries,0.027,0,0.0187,0.0025,0.0306,0.0284,0.0076,0.0161,0,0.0293,0.0139,0,0.0099,0.0106,0.0277,0.0159,0.0013,0.0338,0.0002,0.0313
key_passes,0.0279,0,0.0163,0,0.0322,0.0093,0,0.0392,0.0039,0.0284,0.0228,0,0.0051,0.0012,0.0282,0.0251,0.0024,0.0148,0,0.0374
miscontrols,0.0118,0.0199,0.0034,0.0032,0.0297,0.0205,0.03,0.0077,0,0.0224,0.0028,0,0.0238,0,0.0295,0.0245,0,0.0255,0,0.0294
offsides,0.0327,0,0.0068,0,0.0268,0.0126,0,0.036,0,0.0314,0.0194,0,0.0095,0.0002,0.0262,0.0227,0,0.0108,0.0074,0.0279
successful_take_ons,0.0039,0,0.0071,0.0121,0.037,0.0286,0,0.0156,0.0006,0.0349,0.0178,0,0.003,0.0022,0.0309,0.0169,0,0.0148,0.0049,0.0253
interceptions_misc,0.0214,0,0.0017,0.0016,0.0314,0.0158,0,0.0254,0,0.0343,0.0116,0,0.0107,0.0032,0.0268,0.0196,0.001,0.0027,0.0092,0.0284
ball_recoveries,0.0139,0,0.0067,0.0003,0.0246,0.0189,0,0.0164,0.0056,0.023,0.0182,0,0.0043,0,0.0262,0.021,0,0.0062,0,0.026
passes_blocked,0.0054,0,0.0027,0.0003,0.0305,0.0235,0,0.0021,0.0042,0.0321,0.0118,0,0.0077,0,0.0281,0.0066,0,0.0129,0.0022,0.0289
aerial_duels_won,0.0052,0,0.0018,0.0015,0.0259,0.0129,0,0.0081,0,0.0334,0.0038,0,0.0095,0.0022,0.0283,0.007,0,0.0066,0,0.0297
